1	14.326112
2	13.879869
3	12.857623
8	11.738515
9	10.720483
10	9.778422
11	8.925937
16	8.147385
17	7.426356
18	6.781091
19	6.192664
24	5.657489
25	5.173191
26	4.738497
27	4.338444
32	3.977837
33	3.647670
34	3.354283
35	3.085276
40	2.844286
41	2.624467
42	2.427613
43	2.241167
48	2.073665
49	1.921325
50	1.783584
51	1.652676
56	1.535398
57	1.425118
58	1.325837
59	1.235948
64	1.164155
65	1.100627
66	1.036333
67	0.975363
72	0.916081
73	0.862688
74	0.815738
75	0.774639
80	0.737281
81	0.702717
82	0.665481
83	0.628939
88	0.596192
89	0.568259
90	0.542890
91	0.521572
96	0.500587
97	0.475553
98	0.454182
99	0.437695
104	0.421444
105	0.405268
106	0.385918
107	0.363243
112	0.348370
113	0.327731
114	0.316564
115	0.297620
120	0.286233
121	0.270173
122	0.255171
123	0.240811
128	0.227836
129	0.216534
130	0.205148
131	0.195004
136	0.188772
137	0.182411
138	0.174855
139	0.168618
144	0.163346
145	0.156356
146	0.161799
147	0.157183
152	0.154844
153	0.154171
154	0.153680
155	0.152243
160	0.149110
161	0.148977
162	0.148716
163	0.147270
168	0.147748
169	0.149338
170	0.149868
171	0.151146
176	0.154923
177	0.155783
178	0.159165
179	0.163310
184	0.165281
185	0.172262
186	0.172616
187	0.172610
192	0.174415
193	0.176273
194	0.175579
195	0.175798
200	0.173455
201	0.171851
202	0.174146
203	0.172380
208	0.172316
209	0.169963
210	0.168143
211	0.164771
216	0.163278
217	0.161112
218	0.159945
219	0.163558
224	0.163048
225	0.162127
226	0.159350
227	0.157080
232	0.157066
233	0.156014
234	0.152209
235	0.150549
240	0.149607
241	0.148778
242	0.147214
243	0.147090
248	0.144768
249	0.148353
250	0.145450
251	0.145048
256	0.146191
257	0.143596
258	0.143485
259	0.142044
264	0.140241
265	0.138814
266	0.140025
267	0.140278
272	0.138275
273	0.135337
274	0.132663
275	0.128990
280	0.129250
281	0.128630
282	0.127478
283	0.127181
288	0.125813
289	0.123225
290	0.122232
291	0.120626
296	0.118669
297	0.119083
298	0.119590
299	0.118142
304	0.116434
305	0.113481
306	0.112331
307	0.111671
